summary,issueKey,issueId,issueType,status,projectKey,projectName,priority,resolution,assignee,reporterEmail,creatorEmail,created,updated,lastViewed,resolved,dueDate,description,partnerNames,causeOfIssue,recordTransactionId,region,relevantDepartments,relevantDepartments1,requestCategory,requestType,requestLanguage,resolutionAction,satisfactionRating,satisfactionDate,source,timeToFirstResponse,timeToResolution,workCategory,statusCategory,statusCategoryChanged,dateOfFirstResponse,comments,lastMessage,priorityScore
FW: Weevils  ,PART1-7294,67197,[System] Service request,Closed,PART1,Partner Support,Medium,Done,DH,CR,CR,2024-08-29 03:13:00,2024-09-07 01:32:00,,2024-09-03 10:27:00,,"Hi All,  

  

We just got a report from a Virginia partner, Food For Others, that masa flour they received from us on 8/6 had weevils in it. Please see order details below: 
* SO#: SO170804
* Item Code: 300256 Corn Flour, Masa Harina Minsa
 

  

  

Have we received this report from other VA partners? Can we check the remaining supply we have to ensure it is weevil free?  

  

Thank you!  

  

Best,  

Riley{color:#4E8227}{color}  

  

!image003.png|thumbnail!{color:#4E8227}{color} 

 *{color:#4E8227} *RC*{color}*{color:#4E8227}{color} 

{color:#4E8227}NOVA Regional Manager{color}{color:#4E8227}{color}  

 {color:#4E8227}Capital Area Food Bank{color}{color:#4E8227}{color} 

 *{color:#4E8227} *P.*{color}*{color:#4E8227} 571.482.4779{color}  

{color:#4E8227}CAFB Customer Service: 202.644.9845{color} 

[{color:#0563C1}rchitwood@capitalareafoodbank.org{color}|mailto:rchitwood@capitalareafoodbank.org]{color:#4E8227}{color} 

{color:#4E8227}6833 Hill Park Drive, Lorton, VA 22079{color}{color:#4E8227}{color} 

[{color:#4E8227}capitalareafoodbank.org{color}|http://capitalareafoodbank.org/]{color:#4E8227}{color}{color:#4E8227}{color}{color:windowtext}{color} 

  

!image004.png|thumbnail!{color:windowtext}{color} <[https://www.facebook.com/CapitalAreaFoodBank]>{color:windowtext}{color}!image005.png|thumbnail!{color:windowtext}{color} <[https://www.linkedin.com/company/capitalareafoodbank]>{color:windowtext}{color} !image006.png|thumbnail!{color:windowtext}{color} <[https://twitter.com/foodbankmetrodc]>{color:windowtext}{color} !image007.png|thumbnail!{color:windowtext}{color} <[https://www.instagram.com/capitalareafoodbank/]> 

  

  
  

 *From:* April Frazier <afrazier@foodforothers.org> 
  *Sent:* Thursday, August 29, 2024 2:49 PM
  *To:* RC <rchitwood@capitalareafoodbank.org>
  *Cc:* Alaina Missbach <amissbach@foodforothers.org>; Brittany Marteney <bmarteney@foodforothers.org>
  *Subject:* Weevils    

  

Hi Riley,  

  

I hate to bother you with such a pesky problem but the Maseca we purchased on 8/6/2024 has a weevil infestation. I wanted you to be aware but I also want to make sure the remaining Maseca on the menu is pest free. We will need to replace our stock, should I find another source temporarily?  

  

!image001.png|thumbnail! 

  

April Frazier Simmons â€¢ Director of Operations & Client Services 

!image002.png|thumbnail!",F. for O.,Ops Issue,SO170804,VA,Partner Support / Customer Support,,Delivery / Pickup -> Missing Item - Refund,Email Request,English,Credit/RMA Created,0.0,,Email to Jira,10740,00:13:00,service-request,Done,2024-09-03 10:27:00,00:13:50.400000,"{""comment1"": ""08/29/2024 03:13;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Hi RC, \n\nWe just received your request for assistance. We will reply as soon as possible.\n\nThank you,\nCustomer Relations\nCapital Area Food Bank"", ""comment2"": ""08/29/2024 03:13;6064f10d61000300682aab1d;\n\n!IMG_5919.jpg|thumbnail!\n\n!IMG_5921.jpg|thumbnail!\n\n!IMG_5923.jpg|thumbnail!\n\n!IMG_5925.jpg|thumbnail!\n\n!image001.png|thumbnail!\n\n!image002.png|thumbnail!\n\n!image003.png|thumbnail!\n\n!image004.png|thumbnail!\n\n!image005.png|thumbnail!\n\n!image006.png|thumbnail!\n\n!image007.png|thumbnail!"", ""comment3"": ""08/29/2024 03:35;712020:38c82492-84fe-40dc-8901-61d65a68f6d3;Keeping open to monitor \n\nCiArra"", ""comment4"": ""08/30/2024 07:56;6064f0bf453ab5006a702fe9;I have investigated the product here and the couple of pallets I looked thru that were on the ground which is where we pulled the product have no signs of pests. \n----\n \n{color:#172B4D}{color}{adf}{\""type\"":\""expand\"",\""content\"":[{\""type\"":\""mediaSingle\"",\""attrs\"":{\""layout\"":\""center\""},\""content\"":[{\""type\"":\""media\"",\""attrs\"":{\""id\"":\""UNKNOWN_MEDIA_blob:outlook-mobile-compose:///f2c7e56a-62ea-4fc8-8065-f288ac16c52d\"",\""type\"":\""file\"",\""collection\"":\""\"",\""width\"":200,\""height\"":183}}]},{\""type\"":\""paragraph\"",\""content\"":[{\""type\"":\""text\"",\""text\"":\"" <[]>  \""}]},{\""type\"":\""paragraph\"",\""content\"":[{\""type\"":\""text\"",\""text\"":\""James Brown\"",\""marks\"":[{\""type\"":\""strong\""},{\""type\"":\""textColor\"",\""attrs\"":{\""color\"":\""#4ea72e\""}}]},{\""type\"":\""text\"",\""text\"":\"" \""}]},{\""type\"":\""paragraph\"",\""content\"":[{\""type\"":\""text\"",\""text\"":\""Capital Area Food Bank\"",\""marks\"":[{\""type\"":\""textColor\"",\""attrs\"":{\""color\"":\""#4ea72e\""}}]},{\""type\"":\""text\"",\""text\"":\"" \""}]},{\""type\"":\""paragraph\"",\""content\"":[{\""type\"":\""text\"",\""text\"":\""NOVA Warehouse Operations Manager\"",\""marks\"":[{\""type\"":\""textColor\"",\""attrs\"":{\""color\"":\""#4ea72e\""}}]},{\""type\"":\""text\"",\""text\"":\""  \""}]},{\""type\"":\""paragraph\"",\""content\"":[{\""type\"":\""text\"",\""text\"":\""6833 Hill Park Drive\"",\""marks\"":[{\""type\"":\""textColor\"",\""attrs\"":{\""color\"":\""#000000\""}}]},{\""type\"":\""text\"",\""text\"":\"" \""}]},{\""type\"":\""paragraph\"",\""content\"":[{\""type\"":\""text\"",\""text\"":\""Lorton, VA 22079\"",\""marks\"":[{\""type\"":\""textColor\"",\""attrs\"":{\""color\"":\""#000000\""}}]},{\""type\"":\""text\"",\""text\"":\"" \""}]},{\""type\"":\""paragraph\"",\""content\"":[{\""type\"":\""text\"",\""text\"":\""M.\"",\""marks\"":[{\""type\"":\""strong\""},{\""type\"":\""textColor\"",\""attrs\"":{\""color\"":\""#3a621e\""}}]},{\""type\"":\""text\"",\""text\"":\""  \""},{\""type\"":\""text\"",\""text\"":\""+\"",\""marks\"":[{\""type\"":\""textColor\"",\""attrs\"":{\""color\"":\""#800080\""}}]},{\""type\"":\""text\"",\""text\"":\""202.650.8938\"",\""marks\"":[{\""type\"":\""underline\""},{\""type\"":\""textColor\"",\""attrs\"":{\""color\"":\""#000000\""}}]},{\""type\"":\""text\"",\""text\"":\""+ \""}]},{\""type\"":\""paragraph\"",\""content\"":[{\""type\"":\""text\"",\""text\"":\""+\"",\""marks\"":[{\""type\"":\""textColor\"",\""attrs\"":{\""color\"":\""#0000ff\""}}]},{\""type\"":\""text\"",\""text\"":\""+ \"",\""marks\"":[{\""type\"":\""textColor\"",\""attrs\"":{\""color\"":\""#0000ff\""}},{\""type\"":\""link\"",\""attrs\"":{\""href\"":\""mailto:JBrown@capitalareafoodbank.org\""}}]},{\""type\"":\""text\"",\""text\"":\""+\"",\""marks\"":[{\""type\"":\""textColor\"",\""attrs\"":{\""color\"":\""#96607d\""}},{\""type\"":\""link\"",\""attrs\"":{\""href\"":\""mailto:JBrown@capitalareafoodbank.org\""}}]},{\""type\"":\""text\"",\""text\"":\""JBrown@capitalareafoodbank.org\"",\""marks\"":[{\""type\"":\""underline\""},{\""type\"":\""textColor\"",\""attrs\"":{\""color\"":\""#800080\""}},{\""type\"":\""link\"",\""attrs\"":{\""href\"":\""mailto:JBrown@capitalareafoodbank.org\""}}]},{\""type\"":\""text\"",\""text\"":\""+ \""}]},{\""type\"":\""paragraph\"",\""content\"":[{\""type\"":\""text\"",\""text\"":\""+\"",\""marks\"":[{\""type\"":\""textColor\"",\""attrs\"":{\""color\"":\""#4e8227\""}}]},{\""type\"":\""text\"",\""text\"":\""+ \"",\""marks\"":[{\""type\"":\""textColor\"",\""attrs\"":{\""color\"":\""#4e8227\""}},{\""type\"":\""link\"",\""attrs\"":{\""href\"":\""http://capitalareafoodbank.org/\""}}]},{\""type\"":\""text\"",\""text\"":\""+\"",\""marks\"":[{\""type\"":\""textColor\"",\""attrs\"":{\""color\"":\""#96607d\""}},{\""type\"":\""link\"",\""attrs\"":{\""href\"":\""http://capitalareafoodbank.org/\""}}]},{\""type\"":\""text\"",\""text\"":\""capitalareafoodbank.org\"",\""marks\"":[{\""type\"":\""underline\""},{\""type\"":\""textColor\"",\""attrs\"":{\""color\"":\""#4e8227\""}},{\""type\"":\""link\"",\""attrs\"":{\""href\"":\""http://capitalareafoodbank.org/\""}}]},{\""type\"":\""text\"",\""text\"":\""+\""}]}],\""attrs\"":{\""title\"":\""Signature\""}}{adf}"", ""comment5"": ""08/30/2024 08:05;6064f10d61000300682aab1d;Okay, thank you James for looking into this! I can let the partner know. [@DH|mailto:dharmon@capitalareafoodbank.org] would we offer a refund to Food For Others in this case or no because too much time has passed? \n\n  \n\nBest,  \n\nRiley{color:#4E8227}{color}  \n\n  \n\n!image003.png|thumbnail!{color:#4E8227}{color} \n\n *{color:#4E8227} *RC*{color}*{color:#4E8227}{color} \n\n{color:#4E8227}NOVA Regional Manager{color}{color:#4E8227}{color}  \n\n {color:#4E8227}Capital Area Food Bank{color}{color:#4E8227}{color} \n\n *{color:#4E8227} *P.*{color}*{color:#4E8227} 571.482.4779{color}  \n\n{color:#4E8227}CAFB Customer Service: 202.644.9845{color} \n\n[{color:#0563C1}rchitwood@capitalareafoodbank.org{color}|mailto:rchitwood@capitalareafoodbank.org]{color:#4E8227}{color} \n\n{color:#4E8227}6833 Hill Park Drive, Lorton, VA 22079{color}{color:#4E8227}{color} \n\n[{color:#4E8227}capitalareafoodbank.org{color}|http://capitalareafoodbank.org/]{color:#4E8227}{color}{color:#4E8227}{color}{color:windowtext}{color} \n\n  \n\n!image004.png|thumbnail!{color:windowtext}{color} <[https://www.facebook.com/CapitalAreaFoodBank]>{color:windowtext}{color}!image005.png|thumbnail!{color:windowtext}{color} <[https://www.linkedin.com/company/capitalareafoodbank]>{color:windowtext}{color} !image006.png|thumbnail!{color:windowtext}{color} <[https://twitter.com/foodbankmetrodc]>{color:windowtext}{color} !image007.png|thumbnail!{color:windowtext}{color} <[https://www.instagram.com/capitalareafoodbank/]>"", ""comment6"": ""09/03/2024 10:26;61536ea272f6970069fc1dbd;Austin approved a credit for Food for Others. The credit memo 8218, for the amount of $661.50 and it will be applied to Invoice 170253."", ""comment7"": ""09/03/2024 10:27;61536ea272f6970069fc1dbd;Credit memo 8218, for the amount of $661.50 was approved.""}",,0.0
15870-PART-01 Exceeded Pounds Limit ,PART1-8513,81869,[System] Service request,Closed,PART1,Partner Support,Medium,Done,DH,-e.veasiyetstsmtectnn@s.omiu,emtcivntynsesmte@..sit-aueos,2025-02-11 08:48:00,2025-02-15 01:30:00,,2025-02-11 05:52:00,,"[Fort Foote Baptist Church|/app/common/entity/custjob.nl?whence=&id=1966] has exceed their Produce pound limit on their last Sales Order.

[View Record|https://229676.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=769&id=3958&c=229676]",F. F. B. C.,Request of Customer Relations,,MD,Partner Support / Customer Support,,Partner Produce Limit -> Overage Alert,Email Request,English,Outreach Completed,0.0,,Email to Jira,9360,08:00:00,service-request,Done,2025-02-11 05:52:00,00:52:03.600000,"{""comment1"": ""02/11/2025 05:52;61536ea272f6970069fc1dbd;Netsuite is not showing this partner is over their limit therefore I am not reaching out to the parnter. ""}",,0.0
"Trying to shop system says account locked until hours of operation verified,  please advise ",PART1-7542,70156,[System] Service request,Closed,PART1,Partner Support,Medium,Done,CH,tnhC iheyycaW,Cenityah yhcW,2024-10-02 10:12:00,2024-10-06 01:31:00,,2024-10-02 11:33:00,,Please advise on message locked account,F. F. B. C.,Request of Customer Relations,,MD,Partner Support / Customer Support,,Agency Administration,Website Assistance (PartnerLink),English,Explanation Provided,0.0,,Portal,9960,14:38:00,service-request,Done,2024-10-02 11:33:00,00:28:38.200000,"{""comment1"": ""10/02/2024 10:28;712020:b15fa988-bc60-49b4-aa6f-e30b7a3629c1;Good morning,\n\nThank you for reaching out. We will not be hosting another training session, but there are tools available to assist you. You can find a guide in PDF format called \""Hours of Operations\"" under the Partner Resource Tab on PartnerLink. This document provides instructions on how to update your hours of operation. \n\nOnce you are logged into PartnerLink, click on your agency name to access your Account Overview. Under Additional Information, you will find a button labeled \""Hours of Operations.\"" Click on it to view the hours currently listed for your agency. If the hours are correct, click \""verify\"" to confirm. If the hours are not correct, please make the necessary changes by clicking \u00e2\u20ac\u0153edit\u00e2\u20ac\u009d, submit them, and once approved by your Regional Coordinator, the updated hours will be officially updated.\n\nIf you still need assistance please attend one of our online Office Hours every Wednesday from 10am-11am: [https://capitalareafoodbank.zoom.us/zbook/partner-support/customer-relations-office-hours|https://capitalareafoodbank.zoom.us/zbook/partner-support/customer-relations-office-hours|smart-link] \n\nThank you,\n\nCharity""}",,0.0
Screen continues to blink not allowing shopping or editing to existing order. SO187718,PART1-8030,75715,[System] Service request,Closed,PART1,Partner Support,Medium,Done,CR,ncCaehhyW yti,cyyiteahnWCh ,2024-12-12 08:03:00,2024-12-19 01:30:00,,2024-12-13 12:01:00,,Trying to view the shopping inventory list and the screen continues to blink and it does not allow me to scroll down the list or to make any selections.  This issue does not occur on my phone (iphone) only on my computer.  ,F. F. B. C.,System Error,SO187718,MD,,,PartnerLink -> ERP Issue,Website Assistance (PartnerLink),English,Explanation Provided,0.0,,Email to Jira,9180,14:44:00,service-request,Done,2024-12-13 12:01:00,00:04:02.600000,"{""comment1"": ""12/12/2024 10:04;712020:38c82492-84fe-40dc-8901-61d65a68f6d3;Good afternoon\u00c2\u00a0\n\nThank you for reaching Customer Service.  Can you confirm if I have for you below some steps that we suggest you take to resolve this issue. \n\n* Clear your browser\u00e2\u20ac\u2122s cache.\u00c2\u00a0(If you do not know how to do this please Google how to clear the cache browser for Chrome\n* Restart your computer.\u00c2\u00a0\n\n* Try a different browser.\u00c2\u00a0 \n\n* If you are on an iPad or tablet, please use a computer.\u00c2\u00a0\u00c2\u00a0\n\n* Update your computer/browser to the latest update.\u00c2\u00a0\n\nIf you are still experiencing issues please let me know\n\nCiArra "", ""comment2"": ""12/12/2024 01:01;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Hello,\n\nThis is an automated reminder from Capital Area Food Bank Customer Services.  \n\nWe recently sent an update to your request, and we are waiting on your reply. \n\nYou can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible.\n\nThank you, \nCR"", ""comment3"": ""12/12/2024 03:01;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Hello,\n\nThis is an automated reminder from Capital Area Food Bank Customer Services.  \n\nWe recently sent an update to your request, and we are waiting on your reply. \n\nYou can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible.\n\nThank you, \nCR"", ""comment4"": ""12/13/2024 07:03;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Hello,\n\nThis is an automated reminder from Capital Area Food Bank Customer Services.  \n\nWe recently sent an update to your request, and we are waiting on your reply. \n\nYou can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible.\n\nThank you, \nCR"", ""comment5"": ""12/13/2024 09:05;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Hello,\n\nThis is an automated reminder from Capital Area Food Bank Customer Services.  \n\nWe recently sent an update to your request, and we are waiting on your reply. \n\nYou can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible.\n\nThank you, \nCR"", ""comment6"": ""12/13/2024 11:01;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Hello,\n\nThis is an automated reminder from Capital Area Food Bank Customer Services.  \n\nWe recently sent an update to your request, and we are waiting on your reply. \n\nYou can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible.\n\nThank you, \nCR"", ""comment7"": ""12/13/2024 12:00;712020:38c82492-84fe-40dc-8901-61d65a68f6d3;I am closing this ticket due to inactivity. Please submit a new ticket if you are still needing assistance \n\nCiArra ""}",,0.0
problems when trying to shop.  The screen continues to pulse not allowing to select an item to place in the shopping cart ,PART1-8297,79955,[System] Service request,Closed,PART1,Partner Support,Medium,Done,CR, eahtncyCWhiy,yaite hhnWyCc,2025-01-17 01:53:00,2025-01-23 01:30:00,,2025-01-17 03:05:00,,"I wanted to edit the existing order #SO190343 however, notices states the edit period has passed.  I thought you could edit within 3 days of the order.  Our order is scheduled for Wednesday 22nd.  Is this not permitting the order because Monday the 20th is a holiday?

Also, Iâ€™m having issues when I try to place an order during shopping the screen continues to pulse up and down not permitting any option to select an item.  The order I mentioned above was placed via phone not my computer. ",F. F. B. C.,Partner Knowledge/Training,,MD,,,Orders - Pre delivery -> General Questions,Website Assistance (PartnerLink),English,Explanation Provided,5.0,2025-01-17 03:07:00,Email to Jira,9660,14:48:00,service-request,Done,2025-01-17 03:05:00,00:15:31.600000,"{""comment1"": ""01/17/2025 02:15;712020:38c82492-84fe-40dc-8901-61d65a68f6d3;Good afternoon and thank you for contacting customer support.  You are correct, when we have a holiday closure it acts as though its a weekend/non-business day and shortens your editing window. We apologize for any confusion that may have caused. \n\nFor all future orders please use a desktop/laptop and the Chrome browser to place/edit orders as it is most compatible with Partnerlink .  Please use the troubleshooting tips listed below if you are experiencing any technical difficulties while on a desktop when editing your order\n\n* Clear your browser\u00e2\u20ac\u2122s cache.\u00c2\u00a0(If you do not know how to do this please Google how to clear the cache browser for Chrome\n* Restart your computer.\u00c2\u00a0\n\n* Try a different browser.\u00c2\u00a0\n\n* If you are on an iPad or tablet, please use a computer.\u00c2\u00a0\u00c2\u00a0\n\n* Update your computer/browser to the latest update.\u00c2\u00a0\n\nIf you are still experiencing issues please let me know\n\nCiArra"", ""comment2"": ""01/17/2025 02:30;qm:65d20c5a-0c84-458e-8ce1-adb90d07460f:9a963d09-48db-4de3-b052-743f0245853a;Ok, thank you.""}",,0.0
When trying to either edit or generate a new order the screen keeps blinking not permitting additions to be added to the order . SO186553,PART1-7955,74813,[System] Service request,Closed,PART1,Partner Support,Medium,Done,CH,hWeCthcyainy ,en tyaChihcyW,2024-12-03 10:51:00,2024-12-11 01:30:00,,2024-12-05 11:38:00,,Problem with trying to add to order or create a new order.  Screen keeps blinking not allowing to add food items from the shopping list.,F. F. B. C.,Other,SO186553,MD,Partner Support / Customer Support,,Orders - Pre delivery -> Edit Order Items,Website Assistance (PartnerLink),English,Question Answered,0.0,,Portal,9720,-0:47,service-request,Done,2024-12-05 11:38:00,00:48:59.200000,"{""comment1"": ""12/03/2024 11:48;712020:b15fa988-bc60-49b4-aa6f-e30b7a3629c1;Good morning, \n\nThank you for contacting customer support. Please allow 30 minutes for your order to update before you begin shopping for your next order.\n\nThen, you should be able to add to your new order for the 18th.\n\nCharity""}",,0.0
Produce Request SO180256,PART1-7647,71565,[System] Service request,Closed,PART1,Partner Support,Medium,Done,CH,ayyi echtCWhn,yC ceytaiWhhn,2024-10-21 07:32:00,2024-10-26 01:30:00,,2024-10-22 10:29:00,2024-10-23 12:00:00,"We would like to add additional grapes to our order if they are available.  It was difficult to determine how many actual bags of grapes would be delivered.  The description is not very clear.  If possible weâ€™d like to add an additional 20 cases (8 bags per case) to this order.  Also, if there will be other produce added weâ€™d like to have that added such as potatoes regular or sweet and any other items available.  We serve 375 families and weâ€™d like to provide adequate produce for them.  The distribution is this coming Saturday, Oct 26th.  Thank you in advance for any assistance you can provide.",F. F. B. C.,,SO180256,MD,Partner Support / Customer Support,,Orders - Pre delivery -> Produce Request,Request Produce,English,Request Approved/Declined,0.0,,Portal,10800,09:53:00,service-request,Done,2024-10-22 10:29:00,00:27:43.900000,"{""comment1"": ""10/22/2024 10:27;712020:b15fa988-bc60-49b4-aa6f-e30b7a3629c1;Good morning,\n\nThank you for contacting customer support. Unfortunately, your order has been locked for fulfillment and we are unable to make any changes to your order at this time. \n\nCharity""}",,0.0
Produce Request S0176228,PART1-7440,68659,[System] Service request,Closed,PART1,Partner Support,Medium,Done,CR,eca yCntyhiWh,CthnyaecWh iy,2024-09-16 07:54:00,2024-09-21 01:30:00,,2024-09-17 09:31:00,,"The items being requested appear on the shopping list but, not available for our delivery date.  Weâ€™d really like to have these produce items.  Please let me know if these items will be added to our order or if other produce may be available to add.",F. F. B. C.,Request of Customer Relations,S0176228,MD,,,Orders - Pre delivery -> Produce Request,Request Produce,English,Order Updated,0.0,,Email to Jira,9060,15:28:00,service-request,Done,2024-09-17 09:31:00,00:31:03.700000,"{""comment1"": ""09/17/2024 09:31;712020:38c82492-84fe-40dc-8901-61d65a68f6d3;Good morning and thank you for contacting customer support \n\nI have added the following to your order:\n\n10 of the [Peppers, Green 25lbs Local CASE MD (LFPA) Only|https://229676.app.netsuite.com/app/common/item/item.nl?id=14992]\n\n3 of the [822614 Corn, Local Sweet 375lbs BIN- MD Only (LFPA)|https://229676.app.netsuite.com/app/common/item/item.nl?id=14825]\n\n10 of the Kale, 18#, Around the Bay Farm Eastern Shore 1/18 lbs Box\n\n1 of the Eggplant, Local bin 475-525# avg 1/500 lbs Bin\n\n\n\nCiArra""}",,0.0
Fort Washington Food Pantry,PART1-4975,27215,[System] Service request,Closed,PART1,Partner Support,Medium,Done,RC,lnoAmey Trta,ATlemyr nota,2023-06-14 12:07:00,2024-04-26 11:34:00,,2024-04-26 07:53:00,,,F. W. F. P.,,,,,,,General Questions,English,,0.0,,Portal,8940,,service-request,Done,2023-06-14 12:41:00,00:41:29.900000,"{""comment1"": ""06/14/2023 12:41;6064f10d61000300682aab1d;Hi Amy, \n\nI would recommend directing this question to our Service Insights team. You can reach them at [+ServiceInsights@capitalareafoodbank.org+|mailto:ServiceInsights@capitalareafoodbank.org] or 202-644-9832. I am not aware of any other scheduling apps, but your regional coordinator may be able to connect you with other MD partners who have a scheduling app. \n\nHere is her information: \n\n*Erin Brown*\n\nMaryland Partnership Coordinator\n\n*P.* 202-769-5614\n\n[ebrown@capitalareafoodbank.org|mailto:ebrown@capitalareafoodbank.org]\n\nBest, \n\nRC "", ""comment2"": ""06/14/2023 12:59;qm:65d20c5a-0c84-458e-8ce1-adb90d07460f:4a7c48ce-ec0b-4e15-9343-5214a7e81fa3;Riley,\n\nMuch appreciated!\n\nAmy Tarleton"", ""comment3"": ""04/26/2024 07:53;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Ticket migrated to a new Jira Project. An automation set the Resolution field to Done. This updated the Resolved (a date) field to today's date.  Prior to the migration the Resolve date was not used in metrics.""}",,0.0
Need help updating hours of operation ,PART1-7483,69473,[System] Service request,Closed,PART1,Partner Support,Medium,Done,CH,lamu@.jlidgcanlmmoih,mglmu@ao.alijmihcdln,2024-09-25 04:03:00,2024-10-02 01:31:00,,2024-09-26 08:54:00,,"{color:#172B4D}Please contact me to help me update the hours of operation for the Fort Washington Food Pantry.{color} 
{color:#172B4D} Jane Hudnall{color} 
{color:#172B4D} Fort Washington Foode Pantry Manager{color} 
{color:#172B4D} fortwashingtonfoodpantry@gmail.com{color} 
{color:#172B4D} 202-679-8898{color}",F. W. F. P.,Partner Knowledge/Training,,DC,Partner Support / Customer Support,,Agency Administration -> Update Information,Email Request,English,Explanation Provided,0.0,,Email to Jira,7380,15:03:00,service-request,Done,2024-09-26 08:54:00,00:21:25.100000,"{""comment1"": ""09/26/2024 08:21;712020:b15fa988-bc60-49b4-aa6f-e30b7a3629c1;Good afternoon,\n\nThank you for reaching out. While we will not be hosting another training session, there are tools available to assist you in updating your Hours of Operation. You can find a guide in PDF format called \""Hours of Operations\"" under the Partner Resource Tab on PartnerLink. This document provides instructions on how to update your hours of operation. \n\nOnce you are logged into PartnerLink, click on your agency name to access your Account Overview. Under Additional Information, you will find a button labeled \""Hours of Operations.\"" Click on it to view the hours currently listed for your agency. If the hours are correct, click \""verify\"" to confirm. If the hours are not correct, please make the necessary changes by clicking \u00e2\u20ac\u0153edit\u00e2\u20ac\u009d, submit them, and once approved by your Regional Coordinator, the updated hours will be officially updated.\n\nScreenshots have been included to provide visual guidance (They are examples not for your agency). \n\nIf you still need assistance please attend one of our online Office Hours every Wednesday from 10am-10am: [https://capitalareafoodbank.zoom.us/zbook/partner-support/customer-relations-office-hours|https://capitalareafoodbank.zoom.us/zbook/partner-support/customer-relations-office-hours|smart-link] \n\nThank you,\n\nCharity""}",,0.0
What information about clients is needed on partner link? ,PART1-7717,72213,[System] Service request,Closed,PART1,Partner Support,Medium,Done,CR, nlHJaanldeu,a JnneaulHdl,2024-10-30 04:54:00,2024-11-06 01:31:00,,2024-10-30 06:01:00,,"If we switched to partner link to check people in at the food pantry, what information is required from each family?",F. W. F. P.,Partner Knowledge/Training,,MD,,,Agency Administration -> Connection to CAFB Staff,General Questions,English,Explanation Provided,0.0,,Email to Jira,10440,15:54:00,service-request,Done,2024-10-30 06:01:00,00:00:47.700000,"{""comment1"": ""10/30/2024 06:00;712020:38c82492-84fe-40dc-8901-61d65a68f6d3;Good afternoon and thank you for contacting customer support\n\nYou will use a computer system to perform client intake and record your food services. Client intake involves collecting basic information to build their household\u00e2\u20ac\u2122s profile (first and last name, age, address, household members, etc.) in addition to helpful data such as dietary considerations and assistance programs.\n\nEach client only needs to complete this process once. After the initial intake questionnaire, the system creates a household profile that makes documenting subsequent visits quick and easy.\n\nStill have questions? [+Click here to learn more at our CAFB Service Insights webpage+|https://linkprotect.cudasvc.com/url?a=https%3a%2f%2fwww.capitalareafoodbank.org%2fpartners%2fpartner-resources%2fservice-insights%2f&c=E,1,hUw2HIs0feTkGgqq_yxHmdlQhtywN8Rt-0GhyCaGyU-hSfoCOLsjgqGGnL2mEQg48IoKbTofAh7lTpPsCZmmf6fRABvk2zXeNOjLScBxFsyx-z1xcQ,,&typo=1] or email the SI team at [+ServiceInsights@capitalareafoodbank.org+|mailto:ServiceInsights@capitalareafoodbank.org]\u00c2\u00a0\u00c2\u00a0\u00c2\u00a0\n\nCiArra"", ""comment2"": ""10/30/2024 09:08;qm:65d20c5a-0c84-458e-8ce1-adb90d07460f:c45f39c7-0f58-405a-9034-6a9cecf9a9a4;Hi Ciara,\nCan you tell me what information is gathered from each person in the partner link computer program? You listed \nfirst name, last name\nAge\nAddress\nNumber of household members\nEtc.\nDietary considerations\nAssistance programs\nWhat is covered in etc?\nThanks,\nJane \n\nJane Hudnall\nFort Washington Food Pantry Manager\n202-679-8898"", ""comment3"": ""10/30/2024 09:08;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Customer has replied after the ticket has been resolved."", ""comment4"": ""10/31/2024 09:23;712020:38c82492-84fe-40dc-8901-61d65a68f6d3;Good morning, Jane, this information was provided to me during my training with the Service Insights team. This program falls under our Service insights team\u00e2\u20ac\u2122s domain of expertise. Please contact  the Service Insights team for more details via their email [+ServiceInsights@capitalareafoodbank.org+|mailto:ServiceInsights@capitalareafoodbank.org]\u00c2\u00a0\u00c2\u00a0\u00c2\u00a0\n\nCiArra"", ""comment5"": ""10/31/2024 05:26;qm:65d20c5a-0c84-458e-8ce1-adb90d07460f:c45f39c7-0f58-405a-9034-6a9cecf9a9a4;Thanks.\nJane""}",,0.0
